,name,function,chain,date
2449,MagicToken,Exit Scam,FANTOM,28.09.2021
2450,PolyGladiatorToken,Exit Scam,POLYGON,29.09.2021
2451,ChocSwap.finance,Exit Scam,BSC,30.09.2021
2452,cArbFarm,Exit Scam,ETH,30.09.2021
2453,Hallowenswap,Exit Scam,POLYGON,01.10.2021
2454,PolarBearToken,Exit Scam,POLYGON,06.10.2021
2455,BEESwap,Exit Scam,BSC,30.08.2021
2456,Symmetry.Markets,Exit Scam,BSC,06.10.2021
2457,Polywater,Exit Scam,POLYGON,30.08.2021
2458,PolyRainbowToken,Exit Scam,POLYGON,07.10.2021
2459,Astro Bunny Finance,Exit Scam,POLYGON,30.08.2021
2460,OneCoin,Exit Scam,,07.03.2016
2461,Helios.Cash,Exit Scam,POLYGON,30.08.2021
2462,LionKingToken,Exit Scam,FANTOM,11.10.2021
2463,Panda Matic,Exit Scam,POLYGON,30.08.2021
2464,AwakenedToken,Exit Scam,FANTOM,11.10.2021
2465,Jester DeFi,Exit Scam,BSC,30.08.2021
2466,Polyrock Finance,Exit Scam,POLYGON,09.10.2021
2467,RabbitSwap Finance,Exit Scam,BSC,30.08.2021
2468,SaturnBeam,Exit Scam,ETH,10.10.2021
2469,LavaSwap,Exit Scam,BSC,30.08.2021
2470,Daughter Doge Revenge Token,Exit Scam,BSC,12.10.2021
2471,FlokiFarmToken,Exit Scam,FANTOM,18.10.2021
2472,OVNI Finance,Exit Scam,BSC,30.08.2021
2473,Mystery,Exit Scam,FANTOM,18.10.2021
2474,Hippolygon,Exit Scam,POLYGON,30.08.2021
2475,Hotdog Cart Finance,Exit Scam,BSC,30.08.2021
2476,UNIYSWAP,Exit Scam,ETH,19.10.2021
2477,Frog Farm,Exit Scam,BSC,30.08.2021
2478,BreadSwap,Exit Scam,BSC,30.08.2021
2479,NekoCat,Exit Scam,BSC,30.08.2021
2480,The Apollo Project,Exit Scam,BSC,30.08.2021
2481,Lamp Finance,Exit Scam,BSC,30.08.2021
2482,Cream Finance,Exploit,ETH,17.03.2021
2483,Hydra Blazar,Exit Scam,POLYGON,
2484,Royalflush Farm,Exit Scam,POLYGON,30.08.2021
2485,PolyYield,Exit Scam,POLYGON,30.08.2021
2486,Poohswap,Exit Scam,BSC,30.08.2021
2487,CarolinaReaper Finance,Exit Scam,BSC,30.08.2021
2488,CatgeSwap,Exit Scam,BSC,30.08.2021
2489,BBQ Swap,Exit Scam,BSC,30.08.2021
2490,PolyHype,Exit Scam,POLYGON,
2491,Carousel Finance,Exit Scam,POLYGON,30.08.2021
2492,HermitSwap,Exit Scam,BSC,30.08.2021
2493,TamagochiSwap,Exit Scam,POLYGON,30.08.2021
2494,Cardboard Finance,Exit Scam,BSC,30.08.2021
2495,Polyninja.finance,Exit Scam,POLYGON,
2496,DragonBallSwap,Exit Scam,BSC,
2497,Bengal Swap,Exit Scam,BSC,30.08.2021
2498,KoalaDefi,Exit Scam,POLYGON,30.08.2021
2499,Cheeseballs Finance,Exit Scam,BSC,
2500,PoliEx Swap,Exit Scam,BSC,30.08.2021
2501,CookieSwap Layer 2,Exit Scam,BSC,30.08.2021
2502,Duck Finance,Exit Scam,POLYGON,30.08.2021
2503,Area51 DeFi,Exit Scam,BSC,30.08.2021
2504,Popit Finance,Exit Scam,BSC,30.08.2021
2505,Blazar Finance,Exit Scam,POLYGON,30.08.2021
2506,PolyOrca,Exit Scam,POLYGON,30.08.2021
2507,2Pac Finance,Exit Scam,POLYGON,30.08.2021
2508,Bapeswap,Exit Scam,POLYGON,
2509,Saturn Swap XYZ,Exit Scam,BSC,
2510,Beets Farm,Exit Scam,POLYGON,30.08.2021
2511,PolyWhat,Exit Scam,POLYGON,27.08.2021
2512,Pumpkin Swap,Exit Scam,BSC,27.08.2021
2513,Chopper Finance,Exit Scam,BSC,27.08.2021
2514,CondoSwap,Exit Scam,BSC,
2515,Basset Farm,Exit Scam,BSC,27.08.2021
2516,Oilrig Finance,Exit Scam,BSC,27.08.2021
2517,PolyFlorida,Exit Scam,POLYGON,
2518,foodcourt.finance,Exit Scam,BSC,
2519,Alienswap,Exit Scam,BSC,27.08.2021
2520,DinoSwap.farm,Exit Scam,BSC,27.08.2021
2521,Evilswap,Exit Scam,BSC,27.08.2021
2522,Glockswap,Exit Scam,POLYGON,27.08.2021
2523,Shadowswap Finance,Exit Scam,FANTOM,27.08.2021
2524,PUGDOG INU,Exit Scam,BSC,27.08.2021
2525,Dino Finance,Exit Scam,POLYGON,27.08.2021
2526,Aura Finance,Exit Scam,FANTOM,27.08.2021
2527,PolyWeed,Exit Scam,POLYGON,27.08.2021
2528,Taba Finance,Exit Scam,BSC,
2529,PolyButterfly,Exit Scam,POLYGON,27.08.2021
2530,Dooog Finance,Exit Scam,BSC,27.08.2021
2531,PolyIon,Exit Scam,POLYGON,
2532,PolyGold,Exit Scam,POLYGON,27.08.2021
2533,Polyvee Finance,Exit Scam,POLYGON,27.08.2021
2534,KingDefi.finance,Exit Scam,BSC,27.08.2021
2535,Astro Yield,Exit Scam,BSC,27.08.2021
2536,RavenSwap,Exit Scam,BSC,27.08.2021
2537,SnowBallLand,Exit Scam,BSC,27.08.2021
2538,Zombies Farm,Exit Scam,BSC,27.08.2021
2539,Haikyu,Exit Scam,BSC,27.08.2021
2540,Cobrafinance.org,Exit Scam,BSC,27.08.2021
2541,MerlinLab,Exit Scam,BSC,
2542,Fish Token,Exit Scam,ETH,26.08.2021
2543,Mummy Token,Exit Scam,BSC,26.08.2021
2544,Missile,Exit Scam,BSC,26.08.2021
2545,Pumaswap Token,Exit Scam,BSC,26.08.2021
2546,Zenko,Exit Scam,POLYGON,26.08.2021
2547,Polyfox.finance,Exit Scam,POLYGON,26.08.2021
2548,SeaShell.Financ,Exit Scam,BSC,26.08.2021
2549,DogX Token,Exit Scam,BSC,26.08.2021
2550,Spiritswap,Exit Scam,FANTOM,26.08.2021
2551,Axe Token,Exit Scam,BSC,26.08.2021
2552,WindSwap,Exit Scam,BSC,26.08.2021
2553,Raccoon Swap,Exit Scam,BSC,26.08.2021
2554,Uranium U92,Exit Scam,BSC,26.08.2021
2555,Dragonfly,Exit Scam,BSC,26.08.2021
2556,Mortal Kombat,Exit Scam,BSC,26.08.2021
2557,Vine Protocol,Exit Scam,BSC,26.08.2021
2558,crocofi.org(CROCO),Exit Scam,BSC,26.08.2021
2559,Elara Finance,Exit Scam,BSC,26.08.2021
2560,MYSTERYToken,Exit Scam,BSC,26.08.2021
2561,BACON,Exit Scam,ETH,26.08.2021
2562,Snakedefi,Exit Scam,BSC,26.08.2021
2563,Original.finance,Exit Scam,BSC,26.08.2021
2564,Ozone Finance Token,Exit Scam,BSC,26.08.2021
2565,Aladdin,Exit Scam,BSC,26.08.2021
2566,NoaSwap,Exit Scam,BSC,26.08.2021
2567,SunnyDefi finance,Exit Scam,BSC,26.08.2021
2568,Antisocial.finance,Exit Scam,BSC,26.08.2021
2569,RUM COIN,Exit Scam,ETH,26.08.2021
2570,DunkSwap Token,Exit Scam,BSC,26.08.2021
2571,SAFU Finance,Exit Scam,BSC,26.08.2021
2572,Deerdefi,Exit Scam,BSC,26.08.2021
2573,Geckoswap,Exit Scam,BSC,26.08.2021
2574,Durianswap,Exit Scam,BSC,
2575,Delicacydefi,Exit Scam,BSC,25.08.2021
2576,Rick.finance,Exit Scam,BSC,25.08.2021
2577,SageSwap Token,Exit Scam,BSC,25.08.2021
2578,Demeter Chain,Exit Scam,ETH,25.08.2021
2579,Tripland,Exit Scam,BSC,25.08.2021
2580,SaturnSwap Token,Exit Scam,BSC,25.08.2021
2581,Meowswap Token,Exit Scam,BSC,25.08.2021
2582,BoobsDefi,Exit Scam,BSC,25.08.2021
2583,Pablo Escobar,Exit Scam,BSC,25.08.2021
2584,Goldbar.finance,Exit Scam,BSC,
2585,Kingdomswap,Exit Scam,BSC,25.08.2021
2586,JI Finance,Abandoned,ETH,
